hhid,pid,w1_hhgeo,w1_hhsizer,w1_hhincome,w1_a_best_age_yrs,w1_a_b2,w1_a_n1_1,w1_a_n2_1,w1_quest_typ,w1_best_race
104090,312401,1,1,851.81604,51,1,151.8,34.1,1,1
104268,312402,3,5,178.20621,51,1,174.6,74.5,1,1
104264,312403,3,2,269.84564,63,1,168.8,66.2,1,1
104270,312404,3,3,1006.6927,20,1,161.7,46,1,1
104264,312405,3,2,269.84564,28,1,161.8,56.1,1,1
104271,312406,3,3,710,24,2,159.4,62.4,1,1
104096,312407,1,6,3786.6665,46,2,163.1,65.7,1,1
104096,312408,1,6,3786.6665,52,1,168,59.2,1,1
104268,312409,3,5,178.20621,-9,2,161,104.4,1,1
106698,312410,2,4,3172.1675,33,2,166.5,60.9,1,1
106698,312411,2,4,3172.1675,58,2,149.4,58,1,1
110717,312412,2,9,4326.1914,58,2,169.5,73,1,1
110717,312413,2,9,4326.1914,22,2,163.9,65.59999999999999,1,1
110717,312414,2,9,4326.1914,73,1,151.8,69.59999999999999,1,1
110718,312415,2,6,2271.8843,49,2,151.3,66.40000000000001,1,1
110718,312416,2,6,2271.8843,20,1,156.8,49.3,1,1
106703,312417,2,5,720.42877,16,1,161.4,48,1,1
110718,312418,2,6,2271.8843,17,2,147.8,50.1,1,1
110725,312419,2,3,1471.9681,17,2,154.7,61.7,1,1
106698,312420,2,4,3172.1675,15,2,158,44.5,1,1
104096,312421,1,6,3786.6665,18,1,171,58.2,1,1
104095,312422,1,1,2000,30,1,-8,-8,1,1
104094,312423,1,2,1802.1252,70,1,166.3,38.3,1,1
104094,312424,1,2,1802.1252,65,2,157.5,74.3,1,1
104275,312425,3,1,2080,32,1,167.5,54,1,1
104272,312427,3,3,2957.8564,41,1,167.7,62.9,1,1
110717,312428,2,9,4326.1914,20,2,157.7,63.6,1,1
110713,312430,1,1,959.49487,63,2,147.1,58.4,1,1
104092,312431,1,7,628.33008,55,2,153,45,1,1
104091,312432,1,1,2050,48,2,158.1,54.8,1,1
110716,312433,2,3,1148.4426,31,2,160.4,57.7,1,1
110712,312434,1,3,866.86139,27,1,161.3,54.2,1,1
110712,312435,1,3,866.86139,19,2,153.6,87.59999999999999,1,1
104262,312436,3,3,1840,39,1,161.9,55.2,1,1
104098,312437,1,1,4950.7012,51,1,-8,-8,1,1
104097,312438,1,1,750,25,1,180.4,78.90000000000001,1,1
104096,312439,1,6,3786.6665,26,2,161.8,75.09999999999999,1,1
104096,312440,1,6,3786.6665,81,2,145.1,70,1,1
104100,312441,1,15,5558.7017,17,1,166.8,55.2,1,1
104100,312442,1,15,5558.7017,17,1,157.3,43.5,1,1
104101,312443,1,3,959.08948,25,2,155.9,47.4,1,1
104101,312444,1,3,959.08948,41,1,159.3,51.9,1,1
104093,312445,1,15,7751.7065,-9,2,155,39.9,1,1
101407,312446,2,5,1656.4135,34,2,167.8,94.09999999999999,1,1
104093,312447,1,15,7751.7065,40,2,157.2,50.2,1,1
104100,312448,1,15,5558.7017,-9,2,154,41.8,1,1
104093,312450,1,15,7751.7065,63,1,172.7,53.1,1,1
104100,312451,1,15,5558.7017,-9,2,-8,-8,1,1
106951,312454,2,5,646.86469,56,,,,1,1
106919,312455,2,5,1615.1533,26,2,158.4,65.8,1,1
106987,312456,2,7,1417.7205,32,2,155.5,74,1,1
106987,312457,2,7,1417.7205,26,1,159,50,1,1
106987,312458,2,7,1417.7205,16,1,160,43,1,1
106987,312459,2,7,1417.7205,19,1,160,55.9,1,1
106927,312460,2,1,3775.8013,44,2,158.5,69.8,1,1
106993,312461,2,4,310,44,2,156.5,94.90000000000001,1,1
106993,312462,2,4,310,15,2,149,65.2,1,1
106951,312463,2,5,646.86469,22,1,152.3,46.6,1,1
106951,312464,2,5,646.86469,15,1,152.6,45,1,1
106951,312465,2,5,646.86469,16,1,165.5,51.1,1,1
106989,312466,2,7,2861.7146,19,2,163.6,67.90000000000001,1,1
106982,312467,2,5,5598.2339,42,1,170.3,94.8,1,1
106982,312468,2,5,5598.2339,35,2,165,82.40000000000001,1,1
104099,312469,1,7,1400,28,2,167.3,55,1,1
104099,312470,1,7,1400,54,2,164,50.1,1,1
104100,312471,1,15,5558.7017,19,2,155.6,50.8,1,1
104100,312472,1,15,5558.7017,21,2,160.4,64,1,1
104100,312473,1,15,5558.7017,-9,2,159.6,56.8,1,1
104100,312474,1,15,5558.7017,34,2,156.6,76.59999999999999,1,1
104100,312475,1,15,5558.7017,-9,2,159.9,56.9,1,1
104225,312477,2,3,618.25275,41,2,160.7,65.8,1,1
104232,312478,2,5,2800.0574,87,1,159,59.8,1,1
104233,312479,2,12,2446.0313,57,,,,1,1
104232,312480,2,5,2800.0574,77,2,150.6,66.2,1,1
104226,312481,2,5,11792.583,22,2,161.4,63.2,1,1
104226,312482,2,5,11792.583,50,2,156.3,69.2,1,1
104226,312483,2,5,11792.583,16,2,150.6,49.6,1,1
104231,312484,2,5,15550,19,1,160.5,54.9,1,1
